0,1,2,3,4,5,6,7
0.049388673,0.07739363,0.028947998,-0.007542777,0.04367522,-0.0055932025,0.01093456,0.19646484
-0.08758839,0.17951488,0.02941249,-0.004801284,0.036039293,0.07500637,0.060224343,-0.06974997
0.3768482,0.34833732,-0.38349313,-0.40357152,-0.3451075,-0.37920067,-0.49772322,-0.3202066
0.18661289,0.035614375,-0.09591744,0.044092953,-0.09269464,-0.02604738,0.0021321103,-0.05181922
0.221811,0.17906387,-0.24909376,-0.37463632,-0.37245408,-0.2591625,-0.38150373,-0.21577346
-0.7328447,-0.76264066,1.1592318,0.9385664,0.6662514,0.55778414,0.48743847,0.6739082
0.12153853,0.009104399,0.23124872,0.04751923,-0.0016485194,-0.12228586,0.16712515,0.013868991
0.04358481,-0.008935362,0.009369396,-0.0076757837,-0.050200593,-0.0010394014,-0.02689471,-0.026082693
0.27753013,0.2271928,-0.22835584,-0.2769662,-0.31884634,-0.21809097,-0.51774085,-0.22361177
0.15545854,0.10190618,-0.03108963,-0.06340704,-0.09626881,-0.08806281,-0.02855415,-0.050030585
0.07106137,0.13793994,0.0033776853,-0.092638955,-0.13756824,-0.12024414,-0.14901733,-0.029562984
0.16758808,0.30548054,-0.25593358,-0.3262272,-0.3526458,-0.20526037,-0.36720195,-0.23471555
-0.025802145,-0.031572897,0.07942229,-0.045363262,-0.009493601,-0.09626626,-0.0788668,-0.09256876
0.036286276,-0.052869245,-0.087550074,-0.067480385,-0.12826507,-0.08976515,-0.14362429,-0.15004025
0.34837225,0.30936068,-0.26856354,-0.4163908,-0.24790065,-0.26667985,-0.17809163,-0.28845763
-0.24513966,-0.2882855,0.2501015,0.16354057,0.1833927,0.40094143,0.40490746,0.2141987
-0.11029831,-0.1506843,0.15321487,0.099565566,0.04141979,0.08591585,0.18211304,0.18552332
0.13087958,0.2567642,-0.13696963,-0.050653942,-0.10361535,-0.0795121,-0.14737745,-0.17368345
0.059415065,0.11891764,-0.029939396,-0.14631364,0.034792695,0.015409897,-0.17512633,0.071980365
-0.5478655,-0.28216106,0.5614434,0.25386947,0.499216,0.52842975,0.41759098,0.42460585
0.11751524,-0.013698805,-0.17569467,-0.14081687,0.043854564,-0.015221726,-0.14281349,-0.15489373
0.30977833,0.34765428,-0.2534921,-0.30103305,-0.26395148,-0.36629823,-0.35450882,-0.25593996
0.013820571,0.015716149,-0.15300551,-0.19949774,-0.21917593,0.00047548674,-0.07277329,-0.11342559
0.10052929,0.0036682377,0.006745468,-0.10699441,-0.10188919,0.011411541,-0.09448375,0.03041416
0.08989823,0.22136736,-0.08884971,-0.23458542,-0.12256949,-0.26394823,-0.14577025,-0.14268665
0.0019218053,-0.08939787,-0.060398847,-0.1495147,-0.054712594,0.013739871,0.1656198,-0.003185629
